CSC369H5,Operating Systems,Fall,3,UTM,SCI,CSC
CSC258H5,Computer Organization,Winter,2,UTM,SCI,CSC
CSC209H5,Software Tools and Systems Programming,Winter,2,UTM,SCI,CSC
CSC290H5,Communication Skills for Computer Scientists,Fall,2,UTM,SCI,CSC
CSC207H5,Software Design,Fall,2,UTM,SCI,CSC
CSC148H5,Introduction to Computer Science,Winter,1,UTM,SCI,CSC
MAT102H5,Introduction to Mathematical Proofs,Fall,1,UTM,SCI,MAT
CSC108H5,Introduction to Computer Programming,Fall,1,UTM,SCI,CSC
MAT135H5,Differential Calculus,Fall,1,UTM,SCI,MAT
MAT134H5,Integral Calculus for Life Sciences?,Winter,1,UTM,SCI,MAT
