CSC369H5,LEC0101,Monday,15:00,17:00,DH2020,Bill NYE
CSC369H5,LEC0102,Friday,15:00,17:00,DH2021,Larry Zhang
CSC369H5,LEC0103,Tuesday,15:00,17:00,DH2022,Bill NYE
CSC369H5,LEC0104,Tuesday,12:00,14:00,IB102,Bill NYE
CSC258H5,LEC0101,Wednesday,11:00,12:00,DH2024,Bill NYE
CSC209H5,LEC0101,Thursday,16:00,18:00,DH2025,Bill NYE
CSC290H5,LEC0101,Friday,9:00,12:00,DH2026,Bill NYE
CSC207H5,LEC0101,Monday,13:00,14:00,IB105,Bill NYE
CSC148H5,LEC0101,Tuesday,17:00,19:00,DH2028,Bill NYE
MAT102H5,LEC0101,Monday,10:00,12:00,IB223,Bill NYE
CSC108H5,LEC0101,Tuesday,10:00,11:00,DH2030,Bill NYE
